Registration Type,Corporation Name,Trade Name,Business Address,Business Address2,City,State,Zip,Phone Number,# ASE Certified Mechanics,Tow Storage Address ,Tow Storage 2,Tow Storage City,Tow Storage State,Tow Storage Zip,Tow Storage Phone,Issue Date,Expiration,Registration No.,Location
Corporation,"Om Automotive, LLC",Meineke Car Care Center,12247 Nebel Street,,North Bethesda,MD,20852,(240) 283-4461,0,,,,,,,05/15/2024,05/15/2025,24-MT-014029,"12247 Nebel Street
North Bethesda, MD 20852
(39.052514005, -77.109974985)"
Corporation,"A & T Automotive Care, LLC",Aamco Transmission & Total Car Care,8129 Georgia Avenue,,Silver Spring,MD,20910,(301) 585-0710,0,,,,,,,05/03/2024,05/03/2027,15-MT-002117,"8129 Georgia Avenue
Silver Spring, MD 20910
(38.991359011, -77.026122006)"
Corporation,"Passport Motors Holding, Inc",Mini of Montgomery County,820 Russell Avenue,,Gaithersburg,MD,20879,(301) 702-6405,2,,,,,,,06/01/2024,06/01/2027,20-MT-004130,"820 Russell Avenue
Gaithersburg, MD 20879
(39.155208999, -77.211522999)"
Corporation,Castro's Collision LLC,Castro's Collision,7917 Cessna Avenue,Unit F,Gaithersburg,MD,20879,(240) 789-7214,0,,,,,,,06/23/2024,06/23/2027,23-MT-013651,"7917 Cessna Avenue
Gaithersburg, MD 20879
(39.173218021, -77.161229987)"
Corporation,"NTW, LLC",NTB Tire and Service Centers,12900 Wisteria Drive,,Germantown,MD,20875,(301) 200-8566,0,,,,,,,05/22/2024,05/22/2027,17-MT-000728,"12900 Wisteria Drive
Germantown, MD 20875
(39.176871986, -77.271293009)"
Corporation,Gaithersburg Liberty LLC,Walnut Hill Liberty,623 South Frederick Avenue,,Gaithersburg,MD,20877,(301) 926-4666,0,,,,,,,03/25/2025,03/25/2026,15-MT-001852,"623 South Frederick Avenue
Gaithersburg, MD 20877
(39.12859, -77.18536)"
Corporation,"Euro Pros Collision Center, Inc.",Euro Pros Collision Center,18930 Woodfield Road,,Gaithersburg,MD,20879,(301) 977-7475,1,,,,,,,03/05/2025,03/05/2026,16-MT-001286,"18930 Woodfield Road
Gaithersburg, MD 20879
(39.16668, -77.1564)"
Corporation,"Pick & Go Mart, LLC",Quince Orchard Plaza Shell,600 Quince Orchard Rd,,Gaithersburg,MD,20878,(301) 990-4344,0,,,,,,,03/22/2025,03/22/2026,25-MT-014441,"600 Quince Orchard Rd
Gaithersburg, MD 20878
(39.1419, -77.22145)"
Corporation,"Sport Automotive, Inc.",Sport Honda,3201 Automobile Boulevard,,Silver Spring,MD,20904,(301) 890-4700,0,,,,,,,03/19/2025,03/19/2026,15-MT-000621,"3201 Automobile Boulevard
Silver Spring, MD 20904
(39.07771, -76.9461)"
Corporation,"Merchant's, LLC",NTB Tire & Service Centers,3261 Automobile Blvd,,Silver Spring,MD,20904,(301) 200-9297,0,,,,,,,05/08/2025,05/08/2028,24-MT-014022,"3261 Automobile Blvd
Silver Spring, MD 20904
(39.08048, -76.94662)"
Corporation,The Rockmont Motor Company,Ourisman Rockmont Chevrolet,807 Rockville Pike,,Rockville,MD,20852,(301) 424-5900,4,,,,,,,04/26/2025,04/26/2028,21-MT-007632,"807 Rockville Pike
Rockville, MD 20852
(39.07599, -77.13837)"
Sole Proprietorship,,CV AUTOMOTIVE LLC,7410 Westmore Rd,STE 2,Rockville,MD,20850,(301) 825-1430,0,,,,,,,03/13/2025,03/13/2026,25-MT-014415,"7410 Westmore Rd
Rockville, MD 20850
(39.09886, -77.15161)"
Corporation,"A & B Automotive Care, Inc.",Meineke Car Care Center,8220 Georgia Ave,,Silver Spring,MD,20910,(301) 588-8878,0,,,,,,,04/29/2025,04/29/2028,16-MT-001977,"8220 Georgia Ave
Silver Spring, MD 20910
(38.99226, -77.0266)"
Corporation,"A Plus Automotive Services, Inc.",A Plus Automotive Services,15563 Frederick Road,Suite O,Rockville,MD,20855,(301) 340-8100,0,,,,,,,04/19/2025,04/19/2028,15-MT-000631,"15563 Frederick Road
Rockville, MD 20855
(39.11188, -77.1606)"
Corporation,"Bill & Jim, Inc.",Potomac BP,10140 River Road,,Potomac,MD,20854,(301) 299-8400,0,,,,,,,04/08/2025,04/08/2028,21-MT-007585,"10140 River Road
Potomac, MD 20854
(39.01763, -77.20896)"
Sole Proprietorship,,Wade Williams,7611 Georgia Ave,206,Washington,DC,20012,(202) 486-8110,0,,,,,,,03/18/2025,03/18/2028,15-MT-001933,"7611 Georgia Ave
Washington, DC 20012
(38.98248, -77.02655)"
Corporation,P&C Complete Car Service LLC,P&C Complete Car Service LLC,12516 Parklawn Drive,,Rockville,MD,20852,(240) 221-3454,0,,,,,,,03/21/2025,03/21/2026,21-MT-006555,"12516 Parklawn Drive
Rockville, MD 20852
(39.06153, -77.11753)"
Corporation,"D & G Auto Repair, LLC",D & G Auto Repair,7615 N Rickenbacker Dr,,Gaithersburg,MD,20879,(301) 330-6280,0,,,,,,,04/29/2025,04/29/2028,23-MT-013589,"7615 N Rickenbacker Dr
Gaithersburg, MD 20879
(39.17435, -77.15723)"
Corporation,Jay R Automotive LLC,Jay R Automotive,8154 Beechcraft Avenue,,Gaithersburg,MD,20879,(240) 750-4820,1,,,,,,,03/29/2025,03/29/2028,21-MT-007586,"8154 Beechcraft Avenue
Gaithersburg, MD 20879
(39.16499, -77.16609)"
Corporation,Jim Coleman Automotive of Bethesda Inc.,Jim Coleman Toyota,10400 Auto Park Avenue,,Bethesda,MD,20817,(240) 403-1253,0,,,,,,,04/03/2025,04/03/2028,16-MT-000723,"10400 Auto Park Avenue
Bethesda, MD 20817
(39.02797, -77.14609)"
Corporation,24/7 RBF Towing LLC,24/7 RBF Towing LLC,409 Domer Ave,,Takoma Park,MD,20912,(240) 793-2277,0,409 Domer Ave,,Takoma Park,MD,20912,(240) 793-2277,03/14/2025,03/14/2026,25-MT-014409,"409 Domer Ave
Takoma Park, MD 20912
(38.99675, -77.00094)"
Corporation,"Bethesda Towing, LLC",Montrose Towing,375 Derwood Circle,A,Rockville,MD,20850,(301) 468-1104,0,375 Derwood Circle,A,Rockville,MD,20850,(301) 468-1104,05/03/2025,05/03/2028,16-MT-000273,"375 Derwood Circle
Rockville, MD 20850
(39.10531, -77.15423)"
Corporation,"Crash Champions, LLC",Crash Champions,423 E. Diamond Avenue,,Gaithersburg,MD,20877,(708) 631-0403,0,,,,,,,03/28/2025,03/28/2028,24-MT-013975,"423 E. Diamond Avenue
Gaithersburg, MD 20877
(39.14165, -77.18836)"
Corporation,"K & G Auto Service, LLC",K & G Auto Service,7326A Westmore Road,,Rockville,MD,20850,(301) 738-2380,1,,,,,,,04/29/2025,04/29/2028,16-MT-001739,"7326A Westmore Road
Rockville, MD 20850
(39.09921, -77.14959)"
Corporation,"Merchant's, LLC",NTB Tire & Service Centers,7851 Old Georgetown Rd,,Bethesda,MD,20815,(301) 202-1132,0,,,,,,,05/08/2025,05/08/2028,24-MT-014019,"7851 Old Georgetown Rd
Bethesda, MD 20815
(38.98824, -77.10003)"
Corporation,"Century Auto Service, Inc.",Century Auto Service,19931 Aircraft Dr,,Germantown,MD,20874,(301) 528-2303,0,,,,,,,03/26/2025,03/26/2026,16-MT-001297,"19931 Aircraft Dr
Germantown, MD 20874
(39.18291, -77.26058)"
Corporation,"Coleman Automotive, Inc.",Jim Coleman Infiniti,10400 Auto Park Avenue,,Bethesda,MD,20817,(240) 403-1253,0,,,,,,,04/02/2025,04/02/2028,18-MT-002509,"10400 Auto Park Avenue
Bethesda, MD 20817
(39.02797, -77.14609)"
Corporation,Gaithersburg Auto Clinic Inc.,Gaithersburg Auto Clinic,417 E. Diamond Ave,Bay D & C,Gaithersburg,MD,20877,(301) 948-4044,0,,,,,,,06/13/2025,06/13/2028,24-MT-014059,"417 E. Diamond Ave
Gaithersburg, MD 20877
(39.14175, -77.189)"
Corporation,"RHD, Gaithersburg, LLC",Rosenthal Acura,623 N Frederick Avenue,,Gaithersburg,MD,20879,(301) 840-9333,0,,,,,,,03/21/2025,03/21/2028,15-MT-000168,"623 N Frederick Avenue
Gaithersburg, MD 20879
(39.15548, -77.21212)"
Sole Proprietorship,,Delta Autobody,12267 Nebel Street,,Rockville,MD,20852,(301) 984-2948,0,,,,,,,06/21/2024,06/21/2025,16-MT-000764,"12267 Nebel Street
Rockville, MD 20852
(39.052514005, -77.109974985)"
Corporation,"Baschuk Enterprises, LLC",Mitch Carr's Auto,4232 Howard Avenue,,Kensington,MD,20895,(301) 493-9460,0,,,,,,,07/08/2024,07/08/2027,20-MT-004166,"4232 Howard Avenue
Kensington, MD 20895
(39.031004994, -77.08394599)"
Corporation,"Metro Investigation & Recovery Solutions, Inc.",Metro Investigation & Recovery Solutions,11051 Pulaski Hwy,,White Marsh,MD,21162,(410) 344-1501,0,8595 Dorsey Run Road,,Annapolis Junction,MD,20701,(410) 344-1501,07/19/2024,07/19/2027,23-MT-013681,"11051 Pulaski Hwy
White Marsh, MD 21162
(39.385033995, -76.419846963)"
Sole Proprietorship,,Solano Auto Repair,10527 Summit Avene,,Kensington,MD,20895,(301) 581-0319,0,,,,,,,08/08/2024,08/08/2027,15-MT-001062,"10527 Summit Avene
Kensington, MD 20895
(39.028966012, -77.07823498)"
Corporation,Speedy Towing Service LLC,Speedy Towing,15101 Southlawn Lane,,Rockville,MD,20850,(301) 588-1322,0,15101 Southlawn lane,,Rockville,MD,20850,(301) 588-1322,07/22/2024,07/22/2027,20-MT-004135,"15101 Southlawn Lane
Rockville, MD 20850
(39.104195982, -77.132812989)"
Corporation,"Fitzgerald Buick, Inc.",Fitzgerald Buick,5501 Nicholson Lane,,Rockville,MD,20852,(301) 770-3300,1,,,,,,,07/13/2024,07/13/2027,17-MT-000023,"5501 Nicholson Lane
Rockville, MD 20852
(39.045635019, -77.105972961)"
Corporation,"Auto Repair Service, LLC",Glen's Auto Service,638 Lofstrand Lane,,Rockville,MD,20850,(301) 251-0870,0,,,,,,,06/03/2024,06/03/2025,15-MT-001459,"638 Lofstrand Lane
Rockville, MD 20850
(39.094112007, -77.139439973)"
Corporation,"JMU Contractors, Inc.",JMU Auto Services,419 E. Diamond Avenue,Suites F&G,Gaithersburg,MD,20877,(240) 848-3932,0,,,,,,,06/07/2024,06/07/2025,24-MT-014057,"419 E. Diamond Avenue
Gaithersburg, MD 20877
(39.14167298, -77.188519033)"
Corporation,MM Auto Tire LLC,Marv & Mike's Auto & Tire,11500 Schuykill Road,,Rockville,MD,20852,(301) 770-7051,0,,,,,,,06/07/2024,06/07/2025,24-MT-014058,"11500 Schuykill Road
Rockville, MD 20852
(39.045337, -77.098019038)"
Corporation,"JV Auto Glass, LLC","JV Auto Glass, LLC",15305 Sweetridge Road,,Silver Spring,MD,20905,(301) 793-0567,0,15305 Sweetridge Rd,,Silver Spring,MD,20905,(301) 793-0567,06/29/2024,06/29/2027,23-MT-013653,"15305 Sweetridge Road
Silver Spring, MD 20905
(39.106790013, -77.004510023)"
Corporation,"PF AUTO, LLC",Ormsby's Auto Service,15850 Somerville Drive,,Rockville,MD,20855,(301) 258-2828,0,,,,,,,10/13/2023,10/13/2026,20-MT-006473,"15850 Somerville Drive
Rockville, MD 20855
(39.116347017, -77.164477975)"
Corporation,East Diamond LLC,Diamond Liberty - Daytona Auto Care,409 E Diamond Ave,,Gaithersburg,MD,20877,(310) 444-4333,0,,,,,,,07/19/2024,07/19/2027,23-MT-013711,"409 E Diamond Ave
Gaithersburg, MD 20877
(39.141692007, -77.189790987)"
Corporation,"Variety Services, LLC",Cloverly Auto Care,15501 New Hampshire Ave,,Silver Spring,MD,20905,(301) 384-9600,0,,,,,,,08/19/2024,08/19/2027,20-MT-004217,"15501 New Hampshire Ave
Silver Spring, MD 20905
(39.109895005, -76.996232978)"
Corporation,"Lift Towing & Recovery, LLC",Lift Towing & Recovery,12331 Wilkins Avenue,,Rockville,MD,20852,(240) 206-6026,0,12331 WILKINS AVE,,ROCKVILLE,MD,20852,(240) 206-6026,08/08/2023,08/08/2026,17-MT-002058,"12331 Wilkins Avenue
Rockville, MD 20852
(39.05919501, -77.112232985)"
Corporation,Monro Inc.,"Mr. Tire, #679",708 Rockville Pike,,Rockville,MD,20852,(845) 356-8390,1,,,,,,,07/30/2024,07/30/2027,15-MT-001697,"708 Rockville Pike
Rockville, MD 20852
(39.080198006, -77.142414962)"
Corporation,"Monro, Inc.","Mr. Tire, #653",126 N. Frederick Avenue,,Gaithersburg,MD,20877,(855) 244-9113,2,,,,,,,08/02/2024,08/02/2027,15-MT-001526,"126 N. Frederick Avenue
Gaithersburg, MD 20877
(39.143434017, -77.201649033)"
Corporation,Guillen's Automotive LLC,Guillen's Automotive LLC,938 Sligo Avenue,,Silver Spring,MD,20910,(301) 495-0950,0,,,,,,,07/22/2024,07/22/2027,20-MT-004194,"938 Sligo Avenue
Silver Spring, MD 20910
(38.989989995, -77.025159009)"
Corporation,"Adler & Mandel, Inc.",Adler & Mandel Auto Upholstery,12298 Wilkins Ave,Suite B,Rockville,MD,20852,(301) 881-2255,0,,,,,,,09/09/2024,09/09/2027,15-MT-000833,"12298 Wilkins Ave
Rockville, MD 20852
(39.057586984, -77.113680037)"
Corporation,Prestige Auto Performance LLC,Prestige Auto Performance LLC,3840-2 Dupont Avenue,,Kensington,MD,20895,(301) 942-0383,0,,,,,,,07/31/2024,07/31/2027,20-MT-004177,"3840-2 Dupont Avenue
Kensington, MD 20895
(39.030477982, -77.07686303)"
Corporation,Monro Inc.,Mr. Tire #774,15119 Frederick Road,,Rockville,MD,20850,(855) 244-9113,3,,,,,,,07/30/2024,07/30/2027,15-MT-000628,"15119 Frederick Road
Rockville, MD 20850
(39.10484801, -77.156446016)"
Corporation,3 Stef Corporation,River Road Auto Service,5151 River Road,,Bethesda,MD,20816,(301) 986-1221,1,,,,,,,09/04/2024,09/04/2027,18-MT-000826,"5151 River Road
Bethesda, MD 20816
(38.964808997, -77.102971988)"
Corporation,Washington Xin Xing Inc,A Quality Auto Body & Service,2325 Perkins Place,,Silver Spring,MD,20910,(301) 585-3600,1,,,,,,,01/17/2024,01/17/2025,22-MT-013383,"2325 Perkins Place
Silver Spring, MD 20910
(39.004191998, -77.050359034)"
Corporation,Spectrum Works LLC,Spectrum Works,535 Southlawn Lane,C,Rockville,MD,20850,(301) 284-9793,0,,,,,,,07/26/2023,07/26/2026,19-MT-002732,"535 Southlawn Lane
Rockville, MD 20850
(39.093206008, -77.141980025)"
Corporation,Langley Auto Sales & Service Corporation,Langley Auto Sales & Service,6860 New Hampshire Ave,,Takoma Park,MD,20912,(301) 270-2100,0,,,,,,,09/23/2024,09/23/2027,17-MT-001037,"6860 New Hampshire Ave
Takoma Park, MD 20912
(38.975095017, -76.995184988)"
Corporation,"White Flint Collision Center, Inc.",White Flint Collision Center,711 East Gude Dr,,Rockville,MD,20850,(301) 881-8002,0,,,,,,,08/21/2024,08/21/2027,15-MT-001070,"711 East Gude Dr
Rockville, MD 20850
(39.102493994, -77.143694962)"
Partnership,,Hot Rod Refinishers,,,,,,,0,,,,,,,02/26/2008,02/26/2011,08-MT-001442,
Corporation,Stef Corporation,Autobahn Motor Works,5514 Dorsey Ln,,Bethesda,MD,20816,(301) 656-4949,0,,,,,,,10/10/2024,10/10/2027,20-MT-005298,"5514 Dorsey Ln
Bethesda, MD 20816
(38.964788001, -77.102265981)"
Corporation,"Murphy Brothers Automotive, Inc.",Murphy Brothers Automotive,10517 Metropolitan Avenue,,Kensington,MD,20895,(301) 602-7390,0,,,,,,,10/06/2024,10/06/2027,15-MT-000453,"10517 Metropolitan Avenue
Kensington, MD 20895
(39.027684, -77.071690977)"
Corporation,"Morton's Towing & Recovery, Inc.","Morton's Towing & Recovery, Inc.",23920 Frederick Road,,Clarksburg,MD,20871,(301) 330-1170,0,16227 Redland Road,,Rockville,MD,20855,(301) 330-1170,10/24/2024,10/24/2027,15-MT-001772,"23920 Frederick Road
Clarksburg, MD 20871
(39.248274988, -77.297588967)"
Corporation,"Tesla, Inc.","Tesla Motors, Inc.",1396 Rockville Pike,,Rockville,MD,20852,(301) 692-2004,1,,,,,,,08/19/2024,08/19/2025,23-MT-013686,"1396 Rockville Pike
Rockville, MD 20852
(39.068493014, -77.128258011)"
Corporation,"Car Fix Garage, Inc.",Car Fix Garage,7408 Westmore Road,Unit I&J,Rockville,MD,20850,(301) 545-0031,0,,,,,,,08/18/2024,08/18/2027,17-MT-001644,"7408 Westmore Road
Rockville, MD 20850
(39.098658016, -77.15180898)"
Corporation,"Werking, Incorporated",Werking Automotive,19515 Waters Road,,Germantown,MD,20874-2609,(301) 528-0012,0,19515 Waters Road,,Germantown,MD,20874-2609,(301) 916-0455,09/14/2024,09/14/2027,15-MT-001072,"19515 Waters Road
Germantown, MD 20874-2609
(39.175924998, -77.272391961)"
Corporation,"Precision Auto, Inc.",Precision Auto,12811 Middlebrook Rd,,Germantown,MD,20874,(301) 428-3447,2,12811 Middlebrook Rd,,Germantown,MD,20874,(301) 428-3447,11/20/2024,11/20/2027,14-MT-000291,"12811 Middlebrook Rd
Germantown, MD 20874
(39.178234003, -77.265568002)"
Corporation,"King Lincoln, Inc.",King Kia,953 N Frederick Ave,,Gaithersburg,MD,20879,(301) 948-3333,0,,,,,,,10/12/2024,10/12/2027,15-MT-000163,"953 N Frederick Ave
Gaithersburg, MD 20879
(39.158987016, -77.217559981)"
Corporation,"Maryland Adventure Vans, Inc.",Maryland Adventure Vans,2719 Lindell St,,Silver Spring,MD,20902,(240) 221-1994,0,,,,,,,08/20/2024,08/20/2025,23-MT-013700,"2719 Lindell St
Silver Spring, MD 20902
(39.056285987, -77.05724703)"
Corporation,Aridi Motor Sport Corp.,Airpark Auto Service,7859 Cessna Ave.,,Gaithersburg,MD,20879,(301) 519-0147,0,,,,,,,08/20/2024,08/20/2025,23-MT-013701,"7859 Cessna Ave.
Gaithersburg, MD 20879
(39.172305986, -77.159159992)"
Corporation,"International Automotive, Inc.",International Automotive,11854 Coakley Circle,,Rockville,MD,20852,(301) 881-3707,0,,,,,,,08/14/2024,08/14/2027,15-MT-001192,"11854 Coakley Circle
Rockville, MD 20852
(39.049460981, -77.104755993)"
Corporation,"Rockville Lube Center, Inc.",Jiffy Lube of Rockville,806 Rockville Pike,,Rockville,MD,20850,(410) 461-7431,0,,,,,,,10/11/2024,10/11/2027,15-MT-000121,"806 Rockville Pike
Rockville, MD 20850
(39.077955009, -77.139842975)"
Corporation,"Allstars Auto Clinic of Germantown, LLC",Allstars Auto Clinic,18001 Mateny Road,,Germantown,MD,20874,(240) 856-2028,0,,,,,,,09/12/2024,09/12/2027,22-MT-013208,"18001 Mateny Road
Germantown, MD 20874
(39.14661101, -77.272104964)"
Corporation,"T.N.T. Auto Body, Inc.",Auto Body Clinic,7402 Westmore Road,A,Rockville,MD,20850,(301) 340-3236,0,,,,,,,09/12/2024,09/12/2027,15-MT-000079,"7402 Westmore Road
Rockville, MD 20850
(39.098658016, -77.15180898)"
Corporation,"Thunderbird Automotive, Inc.",Thunderbird Automotive,7424 Westmore Rd,,Rockville,MD,20850,(301) 279-7059,0,,,,,,,08/29/2024,08/29/2027,23-MT-013669,"7424 Westmore Rd
Rockville, MD 20850
(39.098952012, -77.152149033)"
Corporation,Cachilla Muffler Performance Exhaust LLC,Cachilla Muffler Performance Exhaust,12277 Nebel Street,,Rockville,MD,20852,(202) 638-9250,0,,,,,,,08/20/2024,08/20/2025,23-MT-013697,"12277 Nebel Street
Rockville, MD 20852
(39.052514005, -77.109974985)"
Corporation,"Rankin Auto Upholstery, LLC",Rankin Auto Upholstery,8021 Cessna Ave,,Gaithersburg,MD,20879,(301) 926-3111,0,,,,,,,10/12/2024,10/12/2027,16-MT-002126,"8021 Cessna Ave
Gaithersburg, MD 20879
(39.17329899, -77.164191984)"
Corporation,"CRG Auto Body and Repair, LLC",CRG Auto Body and Repair,1221 Taft Street,,Rockville,MD,20850,(301) 444-4450,0,,,,,,,10/06/2024,10/06/2027,15-MT-002079,"1221 Taft Street
Rockville, MD 20850
(39.093392002, -77.133660986)"
Corporation,Avto Corporation,Tolker Auto Service,427 E Diamond Ave,STE A,Gaithersburg,MD,20877,(301) 869-9360,0,,,,,,,10/11/2024,10/11/2027,15-MT-001449,"427 E Diamond Ave
Gaithersburg, MD 20877
(39.14160802, -77.188057023)"
Corporation,"Herb Gordon Autogroup, Inc",Volvo Cars Silver Spring,3121 Automobile Blvd,,Silver Spring,MD,20904,(301) 890-6200,0,,,,,,,08/31/2024,08/31/2027,22-MT-013239,"3121 Automobile Blvd
Silver Spring, MD 20904
(39.078475986, -76.949599002)"
Corporation,Medrano Auto Repair LLC,Medrano Auto Repair,100 England Terrace,,Rockville,MD,20850,(301) 762-2700,0,,,,,,,09/08/2024,09/08/2027,23-MT-013702,"100 England Terrace
Rockville, MD 20850
(39.086908013, -77.147039006)"
Corporation,Premier Motors LLC,Premier Motors,309 Howard Ave,G,Rockville,MD,20850,(240) 418-5270,0,,,,,,,10/03/2024,10/03/2027,16-MT-001725,"309 Howard Ave
Rockville, MD 20850
(39.08992202, -77.148004015)"
Sole Proprietorship,,"Robert Gill, Jr.",7605 Airpark Rd,Unit C,Gaithersburg,MD,20879,(240) 464-6011,0,,,,,,,08/29/2024,08/29/2027,15-MT-001857,"7605 Airpark Rd
Gaithersburg, MD 20879
(39.170577009, -77.154267978)"
Corporation,"Herb Gordon Autogroup, Inc",Herb Gordon Subaru,3161 Automobile Blvd,,Silver Spring,MD,20904,(301) 847-2220,0,,,,,,,08/29/2024,08/29/2027,22-MT-013240,"3161 Automobile Blvd
Silver Spring, MD 20904
(39.077511983, -76.946274991)"
Corporation,Motorcycle and Light Duty Towing of Maryland LLC,Motorcycle and Light Duty Towing of Maryland,14407 Gaines Avenue,,Rockville,MD,20853,(301) 460-0001,0,14407 Gaines Avenue,,Rockville,MD,20853,(301) 460-0001,08/11/2024,08/11/2027,18-MT-002179,"14407 Gaines Avenue
Rockville, MD 20853
(39.092249004, -77.085844994)"
Corporation,"JWA Towing, LLC",JWA Towing,20115 Welbeck Ter,,Montgomery Village,MD,20886,(301) 305-6841,0,20115 Welbeck Ter,,Montgomery Village,MD,20886,(301) 305-6841,10/04/2024,10/04/2027,23-MT-013731,"20115 Welbeck Ter
Montgomery Village, MD 20886
(39.18667, -77.18292)"
Corporation,Caliber Bodyworks of Maryland LLC,Caliber Collision Centers/ Caliber Auto Glass,309 East Gude Drive,,Rockville,MD,20850,(301) 622-4777,0,,,,,,,06/01/2024,06/01/2027,20-MT-004127,"309 East Gude Drive
Rockville, MD 20850
(39.10617, -77.15083)"
Corporation,"Quattro Auto Body, Inc.",Quattro Auto Body,9151 Brookville Road,,Silver Spring,MD,20910-1810,(301) 589-5401,0,,,,,,,09/25/2024,09/25/2025,15-MT-001593,"9151 Brookville Road
Silver Spring, MD 20910-1810
(39.00555, -77.04917)"
Corporation,"Autobody Dimensions of Bethesda, Inc.",Autobody Dimensions of Bethesda,4709 Chase Avenue,,Bethesda,MD,20814,(301) 657-1621,0,7559 Rickenbacker Dr.,,Gaithersburg,MD,20879,(301) 670-6343,09/13/2024,09/13/2027,15-MT-001702,"4709 Chase Avenue
Bethesda, MD 20814
(38.98962, -77.09466)"
Corporation,"Donoso Enterprises, Inc.",Rossi's Automotive Service,903 Selim Rd,,Silver Spring,MD,20910,(301) 495-0188,0,,,,,,,10/12/2024,10/12/2027,15-MT-000140,"903 Selim Rd
Silver Spring, MD 20910
(38.98794, -77.02464)"
Corporation,Trout's Automotive Services Inc.,Trout's Automotive Services Inc.,9913 Lewis Dr,,Damascus,MD,20872,(301) 414-0044,0,,,,,,,10/07/2024,10/07/2027,20-MT-005279,"9913 Lewis Dr
Damascus, MD 20872
(39.28871, -77.20561)"
Corporation,"VN Mobile Auto Repair, L.L.C.",VN Mobile Auto Repair,12151 Amber Ridge Cir.,,Germantown,MD,20876,(301) 254-6776,1,,,,,,,11/02/2024,11/02/2027,23-MT-013760,"12151 Amber Ridge Cir.
Germantown, MD 20876
(39.19705, -77.25148)"
Corporation,"Crash Champions, LLC","Crash Champions, LLC",8221 Snouffer School Road,,Gaithersburg,MD,20879,(240) 631-0123,0,,,,,,,09/13/2024,09/13/2025,24-MT-014162,"8221 Snouffer School Road
Gaithersburg, MD 20879
(39.16602, -77.16931)"
Corporation,Corellia LLC,Roda,1460 Rockville Pike,,Rockville,MD,20852,(301) 450-6917,0,,,,,,,09/18/2024,09/18/2025,22-MT-013218,"1460 Rockville Pike
Rockville, MD 20852
(39.066425995, -77.126527986)"
Corporation,"Gili's Automotive, Inc.",Gili's Automotive,12410 Washington Ave,,Rockville,MD,20852,(301) 770-1201,0,,,,,,,10/20/2024,10/20/2027,17-MT-001235,"12410 Washington Ave
Rockville, MD 20852
(39.05964, -77.11512)"
Corporation,"National Auto Body, Inc.",National Auto Body,12300 Parklawn Drive,,Rockville,MD,20852,(301) 881-8200,0,,,,,,,10/09/2024,10/09/2027,15-MT-000396,"12300 Parklawn Drive
Rockville, MD 20852
(39.05804, -77.11099)"
Corporation,"Imperial Auto Body, Inc.","Imperial Auto Body, Inc.",690 Lofstrand Lane,,Rockville,MD,20850,(301) 748-8400,1,,,,,,,10/12/2024,10/12/2027,15-MT-001521,"690 Lofstrand Lane
Rockville, MD 20850
(39.09591, -77.13759)"
Corporation,Nors Holding LLC,Woodmoor Shell,10144 Colesville Rd,,Silver Spring,MD,20901,(301) 593-5471,0,,,,,,,09/17/2024,09/17/2025,24-MT-014126,"10144 Colesville Rd
Silver Spring, MD 20901
(39.021439985, -77.012346013)"
Corporation,"C.W.P., Inc.",Redland Liberty Service Center,7201 Muncaster Mill Rd,,Derwood,MD,20855,(240) 912-5625,0,,,,,,,11/01/2024,11/01/2027,17-MT-000419,"7201 Muncaster Mill Rd
Derwood, MD 20855
(39.14605, -77.14421)"
Corporation,"Mistry's Foreign Car Service, Inc.",CJ Foreign Car Service,932 Sligo Avenue,,Silver Spring,MD,20910,(301) 565-9110,0,,,,,,,10/13/2024,10/13/2027,22-MT-013162,"932 Sligo Avenue
Silver Spring, MD 20910
(38.99021, -77.02488)"
Sole Proprietorship,,Paul Patel,54 Cessna Ct,,Gaithersburg,MD,20879,(301) 977-9134,0,,,,,,,11/04/2024,11/04/2027,17-MT-000446,"54 Cessna Ct
Gaithersburg, MD 20879
(39.17325, -77.16207)"
Corporation,"Criswell Nissan of Germantown, Inc",Criswell Nissan,19574 Amaranth Drive,,Germantown,MD,20874,(301) 670-3900,0,,,,,,,10/19/2024,10/19/2027,15-MT-001686,"19574 Amaranth Drive
Germantown, MD 20874
(39.17649, -77.25038)"
Corporation,Mid-Atlantic Auto Works Inc.,Mid-Atlantic Auto Works Inc.,422 North Stonestreet Ave,A,Rockville,MD,20850,(240) 601-6983,0,,,,,,,09/20/2024,09/20/2025,23-MT-013738,"422 North Stonestreet Ave
Rockville, MD 20850
(39.09001, -77.1493)"
Corporation,"PTAC Operating Centers, LLC","PTAC Operating Centers, LLC dba Precision Tune Auto Care",19398 Montgomery Village Ave,,Gaithersburg,MD,20886,(703) 777-9095,1,,,,,,,09/18/2024,09/18/2025,23-MT-013735,"19398 Montgomery Village Ave
Gaithersburg, MD 20886
(39.174102982, -77.20418699)"
Corporation,"Cochran Automotive Service Center, Inc.",Cochran Automotive,19961 Aircraft Drive,,Germantown,MD,20874,(301) 693-4792,0,,,,,,,12/24/2024,12/24/2027,16-MT-001231,"19961 Aircraft Drive
Germantown, MD 20874
(39.18321, -77.26097)"
